cust    first    last
01929    4    4
01930    4    8
01931    3    5
01932    3    6
01933    4    NA
01934    2    5
01935    2    2
01936    3    3
01937    1    1
01938    3    3
01939    1    2
01940    3    3
01941    1    NA
01942    1    5
01943    3    4
01944    4    6
01945    4    6
01946    2    5
01947    3    3
01948    3    6
01949    2    4
01950    2    2
01951    1    1
01952    3    6
01953    2    4
01954    2    2
01955    2    2
01956    4    4
01957    2    2
01958    2    2
01959    3    3
01960    3    4
01961    3    3
01962    4    4
01963    4    5
01964    2    NA
01965    4    NA
01966    4    8
01967    1    NA
01968    2    NA
01969    1    6
01970    4    NA
01971    2    2
01972    3    3
01973    1    3
01974    1    4
01975    1    1
01976    2    2
01977    2    NA
01978    3    4
01979    2    6
01980    4    NA
01981    4    5
01982    3    NA
01983    4    5
01984    2    4
01985    1    2
01986    2    NA
01987    4    NA
01988    4    NA
01989    1    NA
01990    3    7
01991    3    3
01992    3    3
01993    2    5
01994    4    6
01995    2    3
01996    3    NA
01997    2    NA
01998    3    3
01999    4    NA
02000    3    3
02001    4    4
02002    4    4
02003    1    1
02004    2    NA
02005    4    7
02006    4    NA
02007    1    5
02008    2    NA
02009    3    3
02010    1    4
02011    2    NA
02012    1    1
02013    4    4
02014    3    NA
02015    4    4
02016    1    8
02017    3    NA
02018    3    3
02019    2    8
02020    4    NA
02021    2    4
02022    2    NA
02023    2    NA
02024    4    4
02025    1    4
02026    4    4
02027    1    3
02028    4    4
02029    4    NA
02030    3    4
02031    2    2
02032    3    4
02033    1    1
02034    2    5
02035    3    5
02036    1    NA
02037    3    3
02038    2    5
02039    4    6
02040    2    NA
02041    4    NA
02042    4    4
02043    1    2
02044    3    3
02045    2    2
02046    4    NA
02047    3    3
02048    2    5
02049    4    5
02050    4    5
02051    3    NA
02052    2    2
02053    2    3
02054    3    8
02055    2    NA
02056    2    2
02057    2    2
02058    1    1
02059    3    3
02060    2    3
02061    1    1
02062    1    1
02063    1    1
02064    4    NA
02065    3    NA
02066    1    3
02067    2    3
02068    1    1
02069    2    NA
02070    3    5
02071    2    2
02072    3    3
02073    4    4
02074    3    NA
02075    1    8
02076    3    7
02077    2    3
02078    4    5
02079    2    2
02080    4    4
02081    4    8
02082    1    NA
02083    2    7
02084    2    3
02085    1    1
02086    2    NA
02087    3    NA
02088    4    6
02089    1    1
02090    4    NA
02091    1    4
02092    4    NA
02093    4    5
02094    3    NA
02095    2    3
02096    2    8
02097    3    3
02098    2    3
02099    1    5
02100    2    NA
02101    4    4
02102    1    4
02103    2    3
02104    3    8
02105    1    2
02106    3    NA
02107    4    5
02108    2    NA
02109    4    5
02110    1    1
02111    4    4
02112    2    NA
02113    2    2
02114    1    1
02115    1    NA
02116    2    2
02117    2    2
02118    4    NA
02119    3    6
02120    4    4
02121    4    4
02122    3    7
02123    2    7
02124    2    NA
02125    3    3
02126    1    2
02127    2    NA
02128    4    NA
02129    4    6
02130    3    3
02131    4    4
02132    4    4
